"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","Operational"
"65","224.4203006867407","232.03860995587522","0.0126953125","0.01806640625","0.00732421875","2280","0.00038382940456235326","32","0.00038382940456235326","0","0.00038382940456235326","0.00038382940456235326","64:0.08333026140169947;66:0.0034422273479483845;77:0.002069612410265681","64:68;66:68;77:68","64:0.03176065380704535;66:0.0037951688420556906;77:0.002842158068066647","Yes"
"66","103.78370440980325","117.4387895803688","0.006103515625","0.00830078125","0.00390625","2280","0.00031582980821185963","32","0.00031582980821185963","0","0.00031582980821185963","0.00031582980821185963","65:0.0034422273479483845;67:0.001708175585128785","65:68;67:68","65:0.0037951688420556906;67:0.004249598835030788","Yes"
"67","301.1297014261315","260.27302054929874","0.006103515625","0.00830078125","0.00390625","2280","0.00016421347974070793","32","0.00016421347974070793","0","0.00016421347974070793","0.00016421347974070793","68:0.003002178775287273;57:0.0021117900473291984;66:0.001708175585128785","68:68;57:68;66:68","68:0.001152196928745658;57:0.002064452895676888;66:0.004249598835030788","Yes"
"68","195.6475941601814","163.73905706078466","0.005126953125","0.00830078125","0.001953125","2280","0.00012422976617479145","32","0.00012422976617479145","0","0.00012422976617479145","0.00012422976617479145","67:0.003002178775287273;69:0.00131589133775456","67:68;69:68","67:0.001152196928745658;69:0.001899652890626491","Yes"
"69","364.07653594382015","281.7237234469745","0.008544921875","0.0078125","0.00927734375","2280","0.00007265486691930308","32","0.00007265486691930308","0","0.00007265486691930308","0.00007265486691930308","78:0.0042968380786754246;68:0.00131589133775456;70:0.0015100459357402785","78:68;68:68;70:68","78:0.00466467775184784;68:0.001899652890626491;70:0.004796092249545025","Yes"
"70","262.36319152552426","181.30334161198536","0.01806640625","0.01611328125","0.02001953125","2280","0.00022425714826842247","32","0.00022425714826842247","0","0.00022425714826842247","0.00022425714826842247","69:0.0015100459357402785;71:0.002293236531836218","69:68;71:68","69:0.004796092249545025;71:0.0019310141600255015","Yes"
"71","360.37860854143344","145.90903627943794","0.047607421875","0.03173828125","0.0634765625","2280","0.0001722202946769213","32","0.0001722202946769213","0","0.0001722202946769213","0.0001722202946769213","72:0.0015185172207205222;58:0.0011212032431358043;70:0.002293236531836218","72:68;58:68;70:68","72:0.0020371057674799797;58:0.0028481152621119;70:0.0019310141600255015","Yes"
"72","52.80241037210222","51.2993289070361","0.508056640625","0.93505859375","0.0810546875","2280","0.0002574172503130368","32","0.0002574172503130368","0","0.0002574172503130368","0.0002574172503130368","73:0.003825786342744747;71:0.0015185172207205222","73:68;71:68","73:0.0033645604526380546;71:0.0020371057674799797","Yes"
"73","236.76386061978292","161.91677432089497","0.5","0","1","2280","0.00022507328015503316","32","0.00022507328015503316","0","0.00022507328015503316","0.00022507328015503316","72:0.003825786342744747;74:0.001292232729934395;79:0.0013371332499431121","72:68;74:68;79:68","72:0.0033645604526380546;74:0.0012354546210095185;79:0.0018580262549997562","Yes"
"74","239.85096501942706","126.67651531056217","0.492431640625","0.44287109375","0.5419921875","2280","0.0002414792328861399","32","0.0002414792328861399","0","0.0002414792328861399","0.0002414792328861399","73:0.001292232729934395;75:0.0017213213520305692","73:68;75:68","73:0.0012354546210095185;75:0.0013994371330405264","Yes"
