"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","Operational"
"67","299.6752759383214","275.92268249515377","0.008056640625","0.00927734375","0.0068359375","2584","0.0002310222141462215","32","0.0002310222141462215","0","0.0002310222141462215","0.0002310222141462215","68:0.0014784822787046459;57:0.004086235308132402;66:0.0019361047272733467","68:88;57:88;66:88","68:0.0007825105128339005;57:0.0015889261373436547;66:0.0015461875068394082","Yes"
"68","323.16349737265597","109.51796710638973","0.001708984375","0.0029296875","0.00048828125","2584","0.0003287463845087666","32","0.0003287463845087666","0","0.0003287463845087666","0.0003287463845087666","67:0.0014784822787046459;69:0.0017509781431430393","67:88;69:88","67:0.0007825105128339005;69:0.001979405295384956","Yes"
"69","349.7674552706403","128.94720085199063","0.00439453125","0.00244140625","0.00634765625","2584","0.00028765435418992997","32","0.00028765435418992997","0","0.00028765435418992997","0.00028765435418992997","78:0.0029780682638905487;68:0.0017509781431430393;70:0.0020122135575192934","78:88;68:88;70:88","78:0.0034188347767633853;68:0.001979405295384956;70:0.0027927731462782657","Yes"
"70","347.92565461959225","133.64913614621523","0.003173828125","0.0048828125","0.00146484375","2584","0.00038031722279570335","32","0.00038031722279570335","0","0.00038031722279570335","0.00038031722279570335","69:0.0020122135575192934;71:0.005161951048780783","69:88;71:88","69:0.0027927731462782657;71:0.002684198384829306","Yes"
"71","438.09463481013427","122.00038659462011","0.004150390625","0.0048828125","0.00341796875","2584","0.00013081369842444656","32","0.00013081369842444656","0","0.00013081369842444656","0.00013081369842444656","72:0.002688991680678432;58:0.0029583469535503504;70:0.005161951048780783","72:88;58:88;70:88","72:0.0015905495506900735;58:0.002834298794679113;70:0.002684198384829306","Yes"
"72","339.2395009328621","482.20859347327695","0.001220703125","0.00146484375","0.0009765625","2584","0.00009464481230111802","32","0.00009464481230111802","0","0.00009464481230111802","0.00009464481230111802","73:0.0035290572954781996;71:0.002688991680678432","73:88;71:88","73:0.0016135288152747118;71:0.0015905495506900735","Yes"
"73","377.74292123854644","418.3707392239861","0.003662109375","0.00341796875","0.00390625","2584","","32","","0","","","72:0.0035290572954781996;74:0.004986288171526382;79:0.0035936865361825276","72:88;74:88;79:88","72:0.0016135288152747118;74:0.003669397342649705;79:0.002138701707574603","Yes"
"74","245.38940899750398","349.0685928127636","0.001708984375","0.0029296875","0.00048828125","2584","0.0002131348892734656","32","0.0002131348892734656","0","0.0002131348892734656","0.0002131348892734656","73:0.004986288171526382;75:0.0014715581578448045","73:88;75:88","73:0.003669397342649705;75:0.0020252556227058904","Yes"
"75","344.9261943197208","551.8447635871373","0.00244140625","0.00244140625","0.00244140625","2584","","32","","0","","","59:0.002501131198108575;74:0.0014715581578448045","59:88;74:88","59:0.0009050078265088746;74:0.0020252556227058904","Yes"
"76","278.4659547480811","387.34346588683354","0.00341796875","0.00537109375","0.00146484375","2584","0.00012122629104301211","32","0.00012122629104301211","0","0.00012122629104301211","0.00012122629104301211","81:0.001595482798117026;61:0.0038815781157219564","81:88;61:88","81:0.0025500651712138667;61:0.002534849092985819","Yes"
"77","289.0184388508555","327.1151522099299","0.00244140625","0.00390625","0.0009765625","2584","0.00014960289934383628","32","0.00014960289934383628","0","0.00014960289934383628","0.00014960289934383628","85:0.0033223022435167615;65:0.002202217579255983","85:88;65:88","85:0.0020014108162494104;65:0.005552975347537792","Yes"
"78","314.0768533085797","160.38168946992005","0.00146484375","0.001953125","0.0009765625","2584","0.00017560404117393294","32","0.00017560404117393294","0","0.00017560404117393294","0.00017560404117393294","69:0.0029780682638905487;89:0.001814199186194465","69:88;89:88","69:0.0034188347767633853;89:0.00558328307831929","Yes"
"79","328.450893214139","648.4832064631524","0.002685546875","0.00390625","0.00146484375","2584","0.00013675526324292926","32","0.00013675526324292926","0","0.00013675526324292926","0.00013675526324292926","93:0.0017074222834674024;73:0.0035936865361825276","93:88;73:88","93:0.002526155162522137;73:0.002138701707574603","Yes"
"80","233.34012934868178","450.21540638251366","0.001708984375","0.0029296875","0.00048828125","2584","0.00014517795287372022","32","0.00014517795287372022","0","0.00014517795287372022","0.00014517795287372022","81:0.0011512347447875382","81:88","81:0.0016364839843642232","Yes"
"81","336.2792657394681","479.4207261941156","0.00341796875","0.0048828125","0.001953125","2584","0.00012067291569013262","32","0.00012067291569013262","0","0.00012067291569013262","0.00012067291569013262","80:0.0011512347447875382;82:0.001535926438923474;76:0.001595482798117026","80:88;82:88;76:88","80:0.0016364839843642232;82:0.003421875146579184;76:0.0025500651712138667","Yes"
"82","357.4654297539837","471.56212351662015","0.005859375","0.0048828125","0.0068359375","2584","0.00017266181932953833","32","0.00017266181932953833","0","0.00017266181932953833","0.00017266181932953833","81:0.001535926438923474;83:0.0023351299214083576","81:88;83:148","81:0.003421875146579184","Yes"
"83","103.45471611020888","141.31689353725932","0.030517578125","0.05810546875","0.0029296875","2584","0.000294274678872605","32","0.000294274678872605","0","0.000294274678872605","0.000294274678872605","82:0.0023351299214083576;84:0.0013443065566936252","96:88;82:148;84:88","84:0.0010383188686066414","Yes"
"84","381.3665012589798","595.0934306695476","0.001953125","0.00390625","0","2584","0.00013690535967914193","32","0.00013690535967914193","0","0.00013690535967914193","0.00013690535967914193","83:0.0013443065566936252;85:0.0013759680253374873","83:88;85:88","83:0.0010383188686066414;85:0.0015498476847442821","Yes"
"85","300.1162571564766","346.70127862892065","0.00390625","0.00244140625","0.00537109375","2584","0.00015745646180916916","32","0.00015745646180916916","0","0.00015745646180916916","0.00015745646180916916","77:0.0033223022435167615;86:0.0011847894263511682;84:0.0013759680253374873","77:88;86:88;84:88","77:0.0020014108162494104;86:0.0008832067219283479;84:0.0015498476847442821","Yes"
"86","362.00007838220756","448.2407820114621","0.0029296875","0.00244140625","0.00341796875","2584","0.0001452275252525702","32","0.0001452275252525702","0","0.0001452275252525702","0.0001452275252525702","85:0.0011847894263511682;87:0.0014054943122801533","85:88;87:88","85:0.0008832067219283479;87:0.0015619730493276474","Yes"
"87","135.74964594804723","166.5607740806414","0.002197265625","0.00341796875","0.0009765625","2584","0.00024072431937876453","32","0.00024072431937876453","0","0.00024072431937876453","0.00024072431937876453","86:0.0014054943122801533;88:0.0022785457940573683;97:0.0020720272475243384","86:88;88:88;97:88","86:0.0015619730493276474;97:0.0017961484668645444","Yes"
"88","376.54534298327025","329.7896761618516","0.009765625","0.00732421875","0.01220703125","2584","0.0001762146137820499","32","0.0001762146137820499","0","0.0001762146137820499","0.0001762146137820499","87:0.0022785457940573683;89:0.0009069320590569252","87:88;89:88","89:0.0025201458432848323","Yes"
"89","339.3050353050463","308.87601727182357","0.0029296875","0.00390625","0.001953125","2584","0.00015310885471549445","32","0.00015310885471549445","0","0.00015310885471549445","0.00015310885471549445","90:0.004622827764796361;88:0.0009069320590569252;78:0.001814199186194465","90:88;88:88;78:88","90:0.0036129703176651373;88:0.0025201458432848323;78:0.00558328307831929","Yes"
"90","21.177977177889467","38.55435649320403","0.058837890625","0.11572265625","0.001953125","2584","0.0014703312186062274","32","0.0014703312186062274","0","0.0014703312186062274","0.0014703312186062274","89:0.004622827764796361;91:0.004460343311586568","89:88;91:88","89:0.0036129703176651373;91:0.004578977088590702","Yes"
"91","361.14095708695635","249.08478626607356","0.003662109375","0.00439453125","0.0029296875","2584","0.00030067996598642365","32","0.00030067996598642365","0","0.00030067996598642365","0.00030067996598642365","98:0.002062311313495019;90:0.004460343311586568;92:0.0024094184346112046","98:88;90:88;92:88","98:0.001164206601659612;90:0.004578977088590702;92:0.0018031859499744174","Yes"
"92","324.28711177799636","270.58383966147517","0.00244140625","0.0048828125","0","2584","0.00018453886745419784","32","0.00018453886745419784","0","0.00018453886745419784","0.00018453886745419784","91:0.0024094184346112046;93:0.0019295000968133913","91:88;93:88","91:0.0018031859499744174;93:0.0017450040517821563","Yes"
"93","248.5528102606307","239.76681060022753","0.008056640625","0.01416015625","0.001953125","2584","0.00016182805190976637","32","0.00016182805190976637","0","0.00016182805190976637","0.00016182805190976637","94:0.0017808357283332077;79:0.0017074222834674024;92:0.0019295000968133913","94:88;79:88;92:88","94:0.0017731572229454096;79:0.002526155162522137;92:0.0017450040517821563","Yes"
"94","377.453569679049","248.92958421878353","0.00390625","0.00634765625","0.00146484375","2584","0.00023007612722171072","32","0.00023007612722171072","0","0.00023007612722171072","0.00023007612722171072","93:0.0017808357283332077;95:0.0011685851314900686","93:88;95:88","93:0.0017731572229454096;95:0.0022528134298486213","Yes"
